0
"MiG-21
"
"MiG-29
"
"conversion trainer
"
"HAL Tejas
"
"conversion trainer
"
"multirole
"
"Mirage 2000
"
"conversion trainer
"
"Sukhoi Su-30MKI
"
"Dassault Rafale
"
"multirole
"
"SEPECAT Jaguar
"
"conversion trainer
"
"Embraer R-99
"
"Beriev A-50
"
"Boeing 707
"
"Global 5000
"
"Gulfstream G100
"
"Gulfstream III
"
"Ilyushin Il-78
"
"Boeing 737
"
"Boeing 777
"
"Embraer Legacy 600
"
"Boeing C-17
"
"Ilyushin Il-76
"
"Airbus A321
"
"Antonov An-32
"
"Dornier Do 228
"
"EADS CASA C-295
"
"C-130J Super Hercules
"
"Hawker Siddeley HS 748
"
"Mil Mi-17
"
"Mil Mi-24
"
"HAL Rudra
"
"HAL Dhruv
"
"Alouette III
"
"SA 315B Lama
"
"Boeing AH-64
"
"CH-47 Chinook
"
"HAL Light Utility Helicopter
"
"HAL Prachand
"
"BAE Hawk
"
"HAL Kiran
"
"HAL HTT-40
"
"Pilatus PC-7
"
"Pipistrel Virus
"
"IAI Heron
"
"IAI Heron Mk 2
"
"IAI Searcher
"
"ALS-50
"
